,PROJECT_CODE,CAUCASIAN,AFRICAN_AMERICAN,HISPANIC,ASIAN,NATIVE_AMERICAN
0,AEP 1407E UT1,1.3333333333333333,0.0,1.3333333333333333,2.6666666666666665,0.0
1,CME0902 DC1 CM,34.72799076212472,1.696593533487298,5.947344110854503,0.27886836027713624,0.0
2,DMH1301 DC1 C,104.36011904761905,9.262896825396826,5.341269841269841,0.0,0.0
3,DPH1350E EC1,19.554597701149426,0.031609195402298854,11.936781609195402,0.27586206896551724,0.0
4,HCC0801 DC2,77.78837099811676,3.603107344632768,9.662900188323917,0.2919020715630885,0.3116760828625235
5,IFM1506 C,5.518518518518518,0.0,0.9259259259259259,1.1481481481481481,0.0
6,IFM1507,67.75694444444444,0.1111111111111111,7.902777777777778,9.652777777777779,0.0
7,SDE1301E EC1,26.296130952380953,0.3392857142857143,5.279761904761905,1.6547619047619047,0.0
8,SDF1401E EC1,41.960447761194025,1.037313432835821,1.3059701492537314,0.0,0.0
9,SDN1501E EC1 C,27.331415094339622,0.0,0.0,0.0,0.0
10,TRC0105 DC1,139.39604862119015,4.007075471698113,22.36148403483309,2.2371190130624092,0.3430696661828737
11,TRC1214 HC1 C,28.45906432748538,0.27046783625730997,3.461988304093567,0.023391812865497075,0.0
12,AEP1402E UT1 C,29.333333333333332,0.0,0.0,0.0,14.666666666666666
13,AEP1501E UT1 C,8.275,0.0,0.0,0.0,0.0
14,DCP1712 OM2 C,11.75,0.0,1.5,0.0,0.0
15,NEC1701 FC1,136.33333333333334,1.7777777777777777,10.666666666666666,0.0,0.0
16,POL1702 FC1 C,9.401785714285714,0.0,0.0,0.0,0.0
17,AEP1312E UT1,4.5,0.0,0.0,0.0,0.0
18,DYS1404E ES1,19.322916666666668,2.4631410256410255,15.326923076923077,0.011217948717948718,0.0
19,NEC1601 HC1 C,54.469202898550726,0.0,13.646739130434783,0.0,0.0
20,QCC1601 HC1 C,42.64077380952381,9.095238095238095,13.053571428571429,0.5029761904761905,0.005952380952380952
21,SDW1501 DC1 C,64.52759475218659,1.8537463556851312,11.962099125364432,0.8010204081632653,0.12099125364431487
22,DOC1507 DC1 C,43.18075136612021,0.42896174863387976,4.273907103825136,0.015027322404371584,0.0
23,DMH0902 EC1,26.425,0.0,0.0,0.0,0.0
24,AEP1802E UT1 C,3.4423076923076925,0.0,8.8125,0.0,0.0
25,DCR1110 DC1 CM,64.35514598540145,1.628442822384428,4.171861313868613,1.338199513381995,0.012165450121654502
26,DCP1908 OM1 C,10.05,0.0,0.0,0.0,0.0
27,EPS1401E EC1 C,44.78525641025641,0.4337606837606838,2.8824786324786325,0.0,0.0
